Match Number,Team Number,Starting Location,Initiation Line,Auto Balls [Low],Auto Balls [1],Auto Balls [2/3],Auto Balls [4],Auto Balls [5],Auto Balls [6],Auto Balls [Acquired],Auto End Location,Tele Balls [Low],Tele Balls [1],Tele Balls [2/3],Tele Balls [4],Tele Balls [5],Tele Balls [6],Wheel Spin,Wheel Color Match,Defender,Target,Endgame,Rung Level,Foul Points,Tech Foul Points,Alliance Color,Key creation successful!
25,4758,Inline with Goal,1,0,0,0,0,0,0,None,Auto Line,4,0,0,0,0,0,0,0,Light,None,Park,1,0,0,red,
26,8179,Inline with Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,2,0,0,0,0,0,None,Heavy,Park,1,0,0,red,
26,8280,Left of Goal,1,0,0,0,0,0,0,None,Middle,0,0,0,0,0,0,0,0,Light,None,None,1,0,0,red,
27,4840,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,Heavy,None,None,1,0,2,red,
27,3414,Inline with Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,1,0,0,0,0,None,None,Hang,1,0,2,red,
27,548,Left of Goal,1,0,0,3,0,0,0,None,Goal Side Middle,0,10,0,0,0,0,0,0,None,None,Park,1,0,2,red,
27,573,Left of Goal,1,0,0,3,0,0,0,None,Goal Side Middle,0,10,0,0,0,0,0,0,None,None,Hang,0,0,2,blue,
24,6742,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,3,0,0,0,0,0,0,0,None,None,None,1,0,0,blue,
25,4854,Inline with Opposing Trench,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,Park,0,0,1,blue,
26,6120,Inline with Opposing Trench,1,0,0,0,0,0,0,None,Goal Side Middle,0,9,0,0,0,0,0,0,None,Light,Park,1,0,0,blue,
27,5531,Left of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,None,None,Park,0,0,2,blue,
28,4758,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Park,0,1,0,blue,
27,5756,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,None,0,0,2,blue,
28,1481,Inline with Alliance Trench,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,2,0,0,0,0,0,None,Light,Hang,0,1,0,blue,
28,6742,Inline with Goal,1,0,0,0,0,0,0,None,Middle,1,0,0,0,0,0,0,0,None,None,Hang,1,0,1,red,
28,5577,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Park,1,0,1,red,
29,835,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,None,0,0,0,red,
29,5498,Inline with Goal,0,0,0,0,0,0,0,None,Alliance Trench,0,0,0,0,0,0,0,0,None,None,Park,0,13,0,blue,
28,7716,Left of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,Heavy,None,Park,1,0,1,red,
